timestamp_ms,altitude_m,ax_mps2,ay_mps2,az_mps2,gx_dps,gy_dps,gz_dps
17727,-0.18,0.852,-0.024,9.649,-5.98,0.43,0.67
17767,-0.18,0.91,0.01,9.682,-6.1,0.37,0.85
17807,-0.25,0.924,-0.005,9.596,-5.98,0.43,0.73
17847,-0.24,0.876,0.043,9.62,-5.91,0.43,0.79
17887,-0.25,0.862,-0.043,9.62,-6.04,0.43,0.79
17927,-0.24,0.895,0.029,9.601,-6.1,0.37,0.85
17967,-0.18,0.881,-0.043,9.606,-5.98,0.37,0.67
18007,-0.18,0.953,0,9.596,-5.85,0.37,0.49
18048,-0.18,0.924,-0.038,9.481,-5.98,0.43,0.67
18087,-0.18,0.891,-0.034,9.515,-6.28,0.37,0.18
18127,-0.24,0.838,0.072,9.591,-6.16,0.37,0.67
18167,-0.18,0.9,-0.014,9.586,-6.16,0.49,0.73
18207,-0.18,0.824,0.005,9.491,-5.98,0.49,0.67
18247,-0.24,0.886,0.072,9.51,-5.98,0.55,0.55
18287,-0.3,0.919,0.014,9.538,-6.16,0.37,0.49
18327,-0.24,0.876,-0.081,9.5,-6.1,0.37,0.55
18367,-0.24,0.833,0.043,9.567,-5.98,0.3,0.73
18407,-0.24,0.9,-0.01,9.615,-6.04,0.49,0.61
18447,-0.2,0.871,-0.019,9.515,-5.91,0.3,0.79
18487,-0.31,0.929,0.105,9.591,-5.98,0.43,0.85
18527,-0.25,0.862,0.034,9.519,-6.04,0.37,0.73
18567,-0.25,0.91,-0.005,9.553,-6.16,0.43,0.79
18607,-0.37,0.881,0,9.577,-6.1,0.37,0.79
18647,-0.37,0.9,0.005,9.606,-5.91,0.37,0.85
18688,-0.37,0.9,-0.034,9.649,-5.91,0.49,0.61
18727,-0.31,0.867,0.01,9.586,-6.1,0.43,0.67
18767,-0.25,0.871,-0.024,9.529,-5.91,0.37,0.61
18807,-0.2,0.953,0.048,9.61,-5.98,0.3,0.79
18847,-0.08,0.886,0,9.644,-5.91,0.37,0.37
18887,-0.08,0.871,0.01,9.495,-5.98,0.49,0.73
